datetime,open,high,low,close,volume
2025-09-22 09:15:00,24000.0,24171.538632217478,23984.75407264429,24125.888057354176,3576
2025-09-22 09:20:00,24125.888057354176,24371.436209512427,24102.7292829447,24346.975391389187,8424
2025-09-22 09:25:00,24346.975391389187,24391.508501814693,24330.019697436874,24331.174602734824,3298
2025-09-22 09:30:00,24331.174602734824,24352.375784484808,24296.003105319458,24340.460100389533,3255
2025-09-22 09:35:00,24340.460100389533,24376.443063305902,24301.17506587076,24346.06745548816,7881
2025-09-22 09:40:00,24346.06745548816,24584.769859637116,24307.062636988576,24577.24609379164,5985
2025-09-22 09:45:00,24577.24609379164,24613.73418498643,24445.9755505447,24463.84117618566,7576
2025-09-22 09:50:00,24463.84117618566,24484.956792480058,24439.70179133874,24441.592403678493,8021
2025-09-22 09:55:00,24441.592403678493,24490.24608040245,24396.554974598483,24467.743719405607,4171
2025-09-22 10:00:00,24467.743719405607,24501.45396534187,24333.76374253023,24335.25875474975,2248
2025-09-22 10:05:00,24335.25875474975,24442.450895840906,24321.709662442936,24399.847889544384,1446
2025-09-22 10:10:00,24399.847889544384,24564.34350265648,24362.060188397278,24522.24266831622,5065
2025-09-22 10:15:00,24522.24266831622,24536.10941573977,24311.989162322076,24336.907290251744,3655
2025-09-22 10:20:00,24336.907290251744,24347.833898982546,24190.068424706213,24229.35048259761,4798
2025-09-22 10:25:00,24229.35048259761,24247.190589925278,23899.24618634108,23919.152119137514,9392
2025-09-22 10:30:00,23919.152119137514,23926.80764656292,23824.40496492218,23833.91097286428,9354
2025-09-22 10:35:00,23833.91097286428,23896.088327191756,23822.011036245563,23873.96347863258,7058
2025-09-22 10:40:00,23873.96347863258,23921.192288708327,23723.419902523216,23749.16086085009,5883
2025-09-22 10:45:00,23749.16086085009,23797.418909000084,23747.332600799367,23767.571458671093,8643
2025-09-22 10:50:00,23767.571458671093,23921.971558978188,23740.135764722232,23892.776547478778,3761
2025-09-22 10:55:00,23892.776547478778,23960.655936169544,23845.292249756203,23916.712258894284,4678
2025-09-22 11:00:00,23916.712258894284,23923.195257083662,23835.88629087608,23843.39628120156,4624
2025-09-22 11:05:00,23843.39628120156,23878.707670036583,23751.112198802657,23757.369461399732,3000
2025-09-22 11:10:00,23757.369461399732,23781.711641411315,23647.559554785148,23691.932621515538,1442
2025-09-22 11:15:00,23691.932621515538,23703.89380518595,23598.018065394826,23600.996694257472,6500
2025-09-22 11:20:00,23600.996694257472,23633.282241819143,23562.801420725016,23630.2197078078,3487
2025-09-22 11:25:00,23630.2197078078,23643.79512813834,23493.677262001187,23524.641189305054,1752
2025-09-22 11:30:00,23524.641189305054,23539.790870108744,23473.6840726252,23482.155308604688,8726
2025-09-22 11:35:00,23482.155308604688,23624.33700882918,23462.513009077054,23611.31797483491,7479
2025-09-22 11:40:00,23611.31797483491,23809.045532894997,23598.643473079606,23764.024528588237,4071
2025-09-22 11:45:00,23764.024528588237,23919.624906888523,23721.51526039946,23873.059411968137,5493
2025-09-22 11:50:00,23873.059411968137,23973.189229551022,23858.641381811627,23953.854401511926,2788
2025-09-22 11:55:00,23953.854401511926,23990.22818690167,23942.97833419118,23959.29237153053,5418
2025-09-22 12:00:00,23959.29237153053,23963.210702851047,23785.886076750492,23791.479363656814,7862
2025-09-22 12:05:00,23791.479363656814,23908.407690083,23787.110498323855,23898.678399683253,3167
2025-09-22 12:10:00,23898.678399683253,24101.257185664246,23887.883668665818,24054.3554342847,6117
2025-09-22 12:15:00,24054.3554342847,24067.220252289982,23837.150123637708,23859.711653839822,1340
2025-09-22 12:20:00,23859.711653839822,24014.85299063475,23857.47092963259,23967.834125270456,9204
